DAY_OF_MONTH,CANCELLED,Departure_Delay,Arrival_Delay,total_flights,perctentage_of_flights_cancelled,perctentage_of_flights_dealyed_on_departure,perctentage_of_flights_dealyed_on_arrival
1,121,2550,2395,18114,0.6679916087004527,14.077509108976482,13.221817378823008
2,89,3034,2924,20612,0.43178730836405976,14.719580826702892,14.185911119736074
3,92,4050,4061,20616,0.446255335661622,19.644935972060534,19.698292588280946
4,60,4342,4598,18099,0.3315100281783524,23.9902757058401,25.404718492734407
5,78,3714,3355,20632,0.3780535091120589,18.0011632415665,16.261147731678946
6,52,2752,2695,20943,0.2482929857231533,13.140428782886884,12.868261471613426
7,77,1784,1717,19164,0.4017950323523273,9.309121269046127,8.959507409726571
8,84,2417,2439,19670,0.42704626334519574,12.287747839349263,12.399593289273005
9,44,1747,1702,20789,0.2116503920342489,8.4034826109962,8.187021982779354
10,793,3653,4138,20810,3.8106679481018744,17.554060547813553,19.884670831331093
11,1202,4519,5032,16033,7.497037360444084,28.185617164598014,31.38526788498721
12,209,3662,3643,19897,1.0504096094888675,18.404784640900637,18.309292858219834
13,171,3408,3634,20589,0.8305405799213171,16.55252804895818,17.650201563941913
14,205,2473,2567,19156,1.0701607851325956,12.90979327625809,13.400501148465233
15,59,1819,1803,19669,0.2999644110020845,9.248055315471046,9.166709034521329
16,215,4858,5090,20762,1.0355457085059243,23.39851652056642,24.515942587419325
17,1485,5092,5143,20788,7.143544352511063,24.494900904367906,24.74023475081778
18,490,3547,3954,15404,3.1809919501428205,23.02648662685017,25.66865749156063
19,84,2311,2171,18066,0.46496180670873466,12.791984944093878,12.01704859957932
20,50,2455,2316,20248,0.24693796918214148,12.124654286843144,11.438166732516791
21,117,2059,1937,19169,0.6103604778548698,10.741301059001513,10.104856800041734
22,77,1828,1846,19671,0.3914391744191958,9.292867673224544,9.384372934777083
23,127,2716,2920,20756,0.6118712661399114,13.085372904220465,14.068221237232608
24,313,2874,2890,20789,1.5056039251527251,13.82461878878253,13.901582567704073
25,63,1847,1844,15984,0.3941441441441441,11.555305305305305,11.536536536536536
26,31,2021,1905,19911,0.15569283310732762,10.150168248706745,9.567575711918035
27,296,3104,3013,20609,1.436265709156194,15.061380950070358,14.619826289485177
28,64,1693,1847,19155,0.3341164186896372,8.838423388149309,9.642391020621249
29,40,1297,1432,19675,0.20330368487928843,6.592121982210927,7.278271918678526
30,60,2095,2202,20757,0.28905911258852435,10.092980681215975,10.608469431998843
31,80,2862,3150,20809,0.3844490364746023,13.7536642798789,15.137680811187467
